timestamp,health,primary_ammo,primary_in_mag,secondary_ammo,secondary_in_mag,prev_health_3s,enemy_shown,action_took
1747322674.4035828,100,17,40,10,50,100,0,hold
1747322684.4279737,100,13,40,10,50,100,0,hold
1747322685.4326963,100,8,40,10,50,100,0,reload
1747322691.4421985,100,9,24,10,50,100,0,change_secondary
1747322691.4421985,100,9,24,10,50,100,0,change_secondary
1747322692.4434297,100,4,24,10,50,100,0,reload
1747322692.4434297,100,4,24,10,50,100,0,reload
1747322692.4434297,100,4,24,10,50,100,0,change_primary
1747322693.4475489,100,4,24,10,50,100,0,reload
1747322693.4475489,100,4,24,10,50,100,0,reload
1747322693.4475489,100,4,24,10,50,100,0,reload
1747322698.4544594,100,9,8,10,50,100,0,reload
1747322705.4689908,100,3,40,10,50,100,0,change_secondary
1747322706.4703784,100,20,20,10,50,100,0,change_secondary
1747322708.4733078,100,19,20,10,50,100,0,change_secondary
1747322711.4765978,100,18,20,10,40,100,0,change_primary
1747322711.4765978,100,18,20,10,40,100,0,change_primary
1747322712.4776728,100,18,20,10,40,100,0,change_primary
1747322712.4776728,100,18,20,10,40,100,0,change_primary
1747322712.4776728,100,18,20,10,40,100,0,change_primary
1747322715.4866617,100,6,20,10,40,100,0,change_secondary
1747322715.4866617,100,6,20,10,40,100,0,change_secondary
1747322719.4914691,100,2,20,4,40,100,0,change_primary
1747322719.4914691,100,2,20,4,40,100,0,change_primary
1747322722.4966156,100,2,20,7,30,100,0,change_primary
1747322729.5082617,78,0,0,3,30,78,0,change_secondary
1747322738.5224407,78,0,0,10,10,78,0,change_primary
1747322738.5224407,78,0,0,10,10,78,0,change_primary
1747322739.5250866,78,0,0,10,10,78,0,reload
1747322739.5250866,78,0,0,10,10,78,0,reload
1747322741.532376,78,0,0,10,10,78,0,change_secondary
1747322741.532376,78,0,0,10,10,78,0,change_secondary
1747322752.551178,62,0,40,0,0,78,1,hold
1747322755.5551536,62,0,40,0,0,62,1,change_primary
1747322755.5551536,62,0,40,0,0,62,1,change_primary
1747322765.570195,100,10,60,10,50,100,0,hold
1747322771.5804284,100,13,40,10,50,100,1,change_secondary
1747322771.5804284,100,13,40,10,50,100,1,change_secondary
1747322776.5886753,62,13,40,5,40,84,1,change_primary
1747322786.6043227,3,12,40,5,40,3,0,hold
1747322796.6378067,3,1,20,5,40,3,0,hold
1747322806.6699586,100,19,40,10,50,100,0,hold
1747322809.673769,100,8,40,10,50,100,0,reload
1747322813.6865163,100,13,27,10,50,100,0,reload
1747322813.6865163,100,13,27,10,50,100,0,reload
1747322823.702779,100,0,20,10,50,100,0,hold
1747322829.713563,100,3,0,10,50,100,0,reload
1747322830.7151878,100,0,0,10,50,100,0,change_secondary
1747322830.7151878,100,0,0,10,50,100,0,change_secondary
1747322841.733487,60,0,0,10,30,100,0,hold
1747322845.7411296,60,0,0,1,30,60,0,change_primary
1747322847.7467525,60,20,20,1,30,60,0,reload
1747322847.7467525,60,20,20,1,30,60,0,reload
1747322857.7652192,100,19,40,10,50,100,0,hold
1747322867.7891617,100,20,20,10,50,100,0,hold
1747322868.7910492,100,14,20,10,50,100,0,reload
1747322872.8043895,100,15,11,10,50,100,0,change_secondary
1747322874.8137457,100,15,11,10,50,100,0,change_primary
1747322876.8185,78,8,11,10,50,100,0,change_secondary
1747322876.8185,78,8,11,10,50,100,0,change_secondary
1747322879.8293107,78,5,11,7,50,78,0,change_primary
1747322879.8293107,78,5,11,7,50,78,0,change_primary
1747322880.8348062,78,5,11,3,50,78,0,reload
1747322880.8348062,78,5,11,3,50,78,0,reload
1747322885.8532486,78,1,0,3,50,78,0,change_secondary
1747322885.8532486,78,1,0,3,50,78,0,change_secondary
1747322896.9196863,4294967288,0,0,6,30,34,0,hold
1747322902.9314795,100,14,40,10,50,100,0,reload
1747322903.932995,100,20,31,10,50,100,0,reload
1747322910.9541516,100,3,31,10,50,100,0,reload
1747322910.9541516,100,3,31,10,50,100,0,reload
1747322916.9705772,100,3,12,10,50,100,0,reload
1747322921.9871628,100,6,40,10,50,100,0,reload
1747322926.0047095,100,12,60,10,50,100,0,reload
1747322937.038932,4294967290,17,28,10,50,100,1,hold
1747322947.0626748,100,20,20,10,50,100,0,hold
1747322957.087974,100,5,40,10,50,100,1,hold
1747322958.088902,100,1,40,10,50,100,0,reload
1747322964.1004174,100,10,20,10,50,100,0,reload
1747322964.1004174,100,10,20,10,50,100,0,reload
1747322968.104547,84,13,50,10,50,100,0,reload
1747322978.1220942,84,8,40,10,50,84,0,reload
1747322978.1220942,84,8,40,10,50,84,0,reload
1747322978.1220942,84,8,40,10,50,84,0,reload
1747322982.130844,84,15,60,10,50,84,0,reload
1747322982.130844,84,15,60,10,50,84,0,reload
1747322984.1337452,84,20,51,10,50,84,0,change_secondary
1747322985.134734,84,20,51,10,50,84,0,change_secondary
1747322985.134734,84,20,51,10,50,84,0,change_secondary
1747322990.1473136,62,20,51,6,40,62,1,change_primary
1747322991.15481,62,20,51,6,40,62,0,reload
1747323001.1957111,100,19,60,10,50,0,0,hold
1747323011.212607,78,20,29,10,50,100,0,hold
1747323013.2170327,78,20,29,10,50,100,1,change_secondary
1747323013.2170327,78,20,29,10,50,100,1,change_secondary
1747323014.2187953,78,20,29,10,50,78,0,change_primary
1747323021.2303305,78,17,9,10,50,78,1,change_secondary
1747323023.232641,78,15,9,9,50,78,0,change_primary
1747323024.2382545,78,15,9,5,50,78,0,reload
1747323024.2382545,78,15,9,5,50,78,0,reload
1747323030.2541072,4294967292,10,4,5,50,78,0,change_secondary
1747323030.2541072,4294967292,10,4,5,50,78,0,change_secondary
1747323033.2618995,100,20,40,7,50,4294967292,0,change_primary
1747323033.2618995,100,20,40,7,50,4294967292,0,change_primary
1747323043.2838476,40,8,60,6,50,100,0,reload
1747323043.2838476,40,8,60,6,50,100,0,reload
1747323054.3055031,4294967288,1,60,6,50,40,1,hold
1747323064.3255718,14,20,20,10,50,84,0,hold
1747323074.3394167,100,6,40,10,50,100,0,hold
1747323080.3551428,87,5,20,10,50,100,0,change_secondary
1747323084.3632803,29,3,20,10,40,81,0,change_primary
1747323088.368535,29,3,20,4,40,29,0,change_primary
1747323088.368535,29,3,20,4,40,29,0,change_primary
1747323089.369427,29,3,20,1,40,29,0,reload
1747323089.369427,29,3,20,1,40,29,0,reload
1747323097.383425,28,3,43,1,40,29,0,reload
1747323097.383425,28,3,43,1,40,29,0,reload
1747323108.414374,100,2,40,10,50,100,0,hold
1747323109.415357,100,0,40,10,50,100,0,change_secondary
1747323118.430953,100,19,40,10,50,100,0,change_secondary
1747323118.430953,100,19,40,10,50,100,0,change_secondary
1747323122.44087,100,19,40,10,40,100,0,change_primary
1747323125.4466057,82,19,40,2,40,100,0,change_primary
1747323132.463577,22,12,20,2,40,22,0,change_secondary
1747323132.463577,22,12,20,2,40,22,0,change_secondary
1747323139.481987,100,20,40,10,50,22,0,change_primary
1747323139.481987,100,20,40,10,50,22,0,change_primary
1747323146.5417252,100,0,40,10,50,100,0,change_secondary
1747323146.5417252,100,0,40,10,50,100,0,change_secondary
1747323150.5512342,100,20,40,10,50,40,0,change_secondary
1747323154.5630422,100,20,40,8,50,100,0,change_primary
1747323161.5760756,40,5,40,6,50,40,0,change_secondary
1747323166.5839322,100,19,40,10,50,40,0,change_secondary
